order_id,item_id,customer_id,quantity,price,order_date,location,delivery_time
1,5,788,2,9.98,2025-04-15,New York,35
2,4,565,3,26.97,2025-01-12,New York,21
3,5,247,1,4.99,2025-05-02,Chicago,20
4,5,178,1,4.99,2025-01-04,Chicago,15
5,5,299,1,4.99,2025-01-27,New York,34
6,1,72,1,12.99,2024-12-30,Miami,20
7,3,790,2,22.98,2025-01-07,New York,36
8,3,318,3,34.47,2025-05-01,Dallas,38
9,3,15,2,22.98,2025-04-15,Chicago,19
10,2,633,3,32.97,2025-03-24,Chicago,32
11,4,942,2,17.98,2024-12-30,Atlanta,24
12,3,669,2,22.98,2025-01-13,Chicago,38
13,2,797,1,10.99,2025-03-24,Miami,32
14,4,335,3,26.97,2025-03-11,Chicago,41
15,2,483,1,10.99,2025-03-07,New York,38
16,4,931,1,8.99,2025-01-01,Atlanta,37
17,2,46,1,10.99,2025-01-23,Miami,24
18,3,387,1,11.49,2025-01-12,Atlanta,26
19,5,769,1,4.99,2025-03-01,New York,38
20,1,828,1,12.99,2025-03-28,Dallas,17
21,1,38,3,38.97,2025-05-12,Chicago,32
22,1,536,2,25.98,2025-05-25,New York,23
23,1,539,3,38.97,2025-06-19,Atlanta,23
24,2,661,3,32.97,2025-01-03,Dallas,19
25,1,339,3,38.97,2025-01-06,Atlanta,33
26,2,998,1,10.99,2025-04-21,New York,29
27,1,656,1,12.99,2025-02-04,Atlanta,35
28,1,302,3,38.97,2025-05-26,New York,40
29,2,955,1,10.99,2025-03-07,Chicago,16
30,3,449,2,22.98,2025-06-06,Atlanta,31
31,3,187,1,11.49,2025-06-02,New York,33
32,2,54,2,21.98,2025-03-07,Chicago,25
33,3,942,3,34.47,2025-03-11,New York,25
34,3,121,3,34.47,2025-04-27,New York,24
35,4,990,2,17.98,2025-04-24,New York,21
36,4,270,2,17.98,2025-05-05,Miami,28
37,4,652,1,8.99,2025-05-23,Miami,33
38,5,279,1,4.99,2025-02-11,Dallas,20
39,5,342,3,14.97,2025-05-01,Atlanta,17
40,2,668,2,21.98,2025-05-16,Chicago,39
41,2,346,3,32.97,2025-05-18,Dallas,33
42,5,624,2,9.98,2025-03-03,Miami,22
43,5,937,1,4.99,2025-03-12,Dallas,28
44,3,354,3,34.47,2025-06-03,Atlanta,17
45,5,128,2,9.98,2025-06-07,Dallas,44
46,3,317,2,22.98,2025-03-22,New York,33
47,1,939,3,38.97,2025-02-07,Atlanta,38
48,4,285,2,17.98,2025-04-16,Dallas,21
49,1,736,2,25.98,2025-05-04,Chicago,38
50,1,525,1,12.99,2025-06-06,Chicago,20
51,1,884,1,12.99,2025-03-28,Miami,43
52,5,161,1,4.99,2025-02-10,Atlanta,18
53,1,247,3,38.97,2025-04-04,Dallas,44
54,3,116,1,11.49,2025-05-08,Chicago,16
55,5,125,2,9.98,2025-01-22,Atlanta,27
56,1,866,1,12.99,2025-02-03,Miami,36
57,5,143,3,14.97,2025-03-16,New York,38
58,3,392,2,22.98,2025-03-15,Chicago,40
59,4,95,1,8.99,2025-06-09,Dallas,38
60,1,247,1,12.99,2025-03-14,Atlanta,43
61,2,754,3,32.97,2025-05-07,Miami,15
62,2,134,2,21.98,2025-02-18,Atlanta,22
63,5,137,2,9.98,2025-04-07,Chicago,35
64,2,695,2,21.98,2025-05-04,New York,38
65,4,343,1,8.99,2025-02-18,Chicago,43
66,3,381,3,34.47,2025-04-23,Dallas,35
67,5,289,1,4.99,2025-02-03,Chicago,30
68,2,294,3,32.97,2025-04-23,Dallas,20
69,1,95,2,25.98,2025-03-13,Dallas,37
70,5,80,2,9.98,2025-01-15,New York,22
71,5,669,3,14.97,2025-05-24,Miami,38
72,3,132,1,11.49,2025-05-20,Chicago,34
73,1,873,2,25.98,2025-06-16,Chicago,37
74,1,963,2,25.98,2025-03-07,Dallas,41
75,2,99,2,21.98,2025-04-21,Chicago,42
76,5,274,2,9.98,2025-03-13,Atlanta,19
77,3,934,3,34.47,2025-01-08,New York,42
78,2,249,1,10.99,2025-06-02,Atlanta,21
79,3,961,2,22.98,2024-12-29,Dallas,20
80,5,424,2,9.98,2025-05-16,Atlanta,39
81,4,435,3,26.97,2025-04-15,Chicago,21
82,2,446,2,21.98,2025-01-20,Dallas,31
83,4,453,1,8.99,2025-06-21,Miami,29
84,2,750,2,21.98,2025-03-25,Atlanta,33
85,5,260,1,4.99,2025-02-06,Miami,21
86,2,827,3,32.97,2025-01-10,Miami,43
87,2,552,3,32.97,2025-05-03,New York,30
88,4,57,3,26.97,2025-06-12,New York,33
89,5,732,3,14.97,2025-01-27,Dallas,17
90,4,100,1,8.99,2024-12-30,New York,45
91,2,716,1,10.99,2025-05-15,Chicago,22
92,4,902,3,26.97,2025-06-02,Miami,33
93,4,562,2,17.98,2025-04-25,New York,23
94,5,772,1,4.99,2025-01-12,Atlanta,39
95,5,737,3,14.97,2025-01-16,New York,43
96,2,983,3,32.97,2025-01-20,Dallas,40
97,1,383,2,25.98,2025-05-23,Dallas,21
98,5,82,2,9.98,2025-05-20,Miami,33
99,4,620,3,26.97,2025-03-21,Chicago,35
100,4,469,3,26.97,2025-02-23,Miami,43
101,1,751,2,25.98,2025-02-01,Chicago,34
102,4,207,1,8.99,2025-04-01,Atlanta,23
103,5,356,3,14.97,2025-05-10,Chicago,36
104,1,804,3,38.97,2024-12-29,Chicago,31
105,5,585,2,9.98,2025-04-09,Atlanta,36
106,5,672,1,4.99,2025-01-03,Chicago,20
107,1,491,3,38.97,2025-04-04,Miami,42
108,5,630,3,14.97,2025-05-24,Atlanta,27
109,5,779,2,9.98,2025-02-23,Dallas,41
110,5,920,3,14.97,2025-06-16,Miami,29
111,1,395,3,38.97,2025-06-19,Atlanta,36
112,2,678,1,10.99,2025-04-28,New York,31
113,5,99,3,14.97,2025-02-08,Atlanta,38
114,2,232,2,21.98,2025-03-11,Dallas,42
115,1,435,1,12.99,2025-02-22,Dallas,20
116,3,401,3,34.47,2025-04-29,Chicago,37
117,3,769,2,22.98,2025-03-28,Chicago,23
118,5,193,1,4.99,2025-06-06,Chicago,23
119,3,991,1,11.49,2025-04-18,Atlanta,26
120,5,662,1,4.99,2025-06-02,New York,37
121,5,482,1,4.99,2025-04-03,Miami,45
122,1,77,2,25.98,2025-03-22,Chicago,38
123,5,298,2,9.98,2025-05-19,New York,15
124,3,217,2,22.98,2025-04-23,Atlanta,18
125,2,869,2,21.98,2025-01-07,Dallas,38
126,3,201,3,34.47,2025-01-15,New York,27
127,1,14,1,12.99,2025-02-22,New York,33
128,3,402,3,34.47,2025-03-21,Chicago,33
129,5,911,3,14.97,2025-04-01,Dallas,43
130,3,2,3,34.47,2025-01-26,Atlanta,18
131,5,428,2,9.98,2025-04-25,Chicago,27
132,5,635,1,4.99,2025-06-16,Dallas,24
133,1,724,2,25.98,2025-02-04,Miami,39
134,3,667,2,22.98,2025-06-27,Miami,30
135,4,409,2,17.98,2025-05-29,Chicago,16
136,3,525,3,34.47,2025-02-07,Dallas,40
137,2,808,3,32.97,2025-03-24,Chicago,19
138,5,631,3,14.97,2025-05-30,Atlanta,28
139,3,895,2,22.98,2025-03-27,Chicago,39
140,4,162,3,26.97,2025-05-02,New York,36
141,2,599,3,32.97,2025-03-31,Chicago,29
142,5,528,2,9.98,2025-05-16,Chicago,43
143,5,279,3,14.97,2025-04-12,Miami,22
144,3,14,3,34.47,2025-05-26,Dallas,24
145,5,311,3,14.97,2025-05-04,Dallas,36
146,5,381,3,14.97,2025-05-10,New York,27
147,4,31,1,8.99,2025-03-14,Chicago,39
148,1,970,1,12.99,2025-02-02,Chicago,36
149,2,408,3,32.97,2025-05-31,New York,40
150,5,97,3,14.97,2025-05-26,Dallas,42
151,1,712,2,25.98,2025-05-27,New York,33
152,5,82,1,4.99,2025-02-25,Miami,40
153,5,97,1,4.99,2025-04-25,Chicago,42
154,3,855,3,34.47,2025-04-16,New York,19
155,2,968,2,21.98,2025-04-13,Miami,36
156,3,688,3,34.47,2024-12-29,Atlanta,17
157,2,668,1,10.99,2025-03-17,Atlanta,21
158,4,426,1,8.99,2025-04-27,Atlanta,22
159,3,745,2,22.98,2025-06-29,Chicago,20
160,1,856,3,38.97,2025-06-22,Miami,24
161,2,572,3,32.97,2025-03-10,Miami,35
162,1,315,1,12.99,2025-02-11,Atlanta,17
163,1,510,3,38.97,2024-12-31,Dallas,33
164,3,934,3,34.47,2025-05-28,New York,31
165,1,671,1,12.99,2025-06-18,Atlanta,39
166,1,367,1,12.99,2025-03-20,Chicago,26
167,1,237,2,25.98,2025-05-20,Miami,32
168,3,422,3,34.47,2025-04-24,Chicago,34
169,5,729,2,9.98,2025-06-29,Chicago,38
170,4,653,2,17.98,2025-01-20,Atlanta,31
171,5,761,2,9.98,2025-02-01,Atlanta,43
172,5,584,3,14.97,2025-06-15,New York,16
173,1,23,3,38.97,2025-05-02,Atlanta,35
174,2,4,3,32.97,2025-01-26,New York,17
175,5,832,3,14.97,2025-05-29,Miami,37
176,2,508,3,32.97,2025-01-04,Atlanta,30
177,2,45,1,10.99,2025-02-01,Miami,41
178,2,857,1,10.99,2025-02-28,Dallas,45
179,2,246,1,10.99,2025-01-24,New York,21
180,1,73,1,12.99,2025-06-15,Dallas,31
181,3,620,3,34.47,2025-03-17,Miami,34
182,2,972,1,10.99,2025-02-07,Dallas,30
183,3,339,3,34.47,2025-02-03,New York,42
184,2,675,3,32.97,2025-04-28,New York,36
185,1,655,3,38.97,2025-04-24,New York,27
186,1,34,3,38.97,2025-03-20,Chicago,24
187,3,618,3,34.47,2025-06-20,New York,43
188,3,446,2,22.98,2025-04-18,Miami,17
189,5,642,2,9.98,2025-06-18,Dallas,29
190,5,172,3,14.97,2025-02-11,Atlanta,45
191,3,58,1,11.49,2025-03-23,Chicago,36
192,3,991,2,22.98,2025-05-03,Miami,20
193,2,71,3,32.97,2025-02-02,Atlanta,28
194,1,639,3,38.97,2025-04-19,Miami,45
195,4,438,3,26.97,2025-01-14,Dallas,15
196,1,662,1,12.99,2025-03-03,Atlanta,15
197,2,609,3,32.97,2025-01-20,Miami,17
198,5,967,2,9.98,2025-05-29,Chicago,31
199,4,856,3,26.97,2025-01-08,Dallas,33
200,2,837,3,32.97,2025-05-01,New York,25
201,2,740,2,21.98,2025-05-06,Dallas,27
202,1,722,3,38.97,2025-02-26,Chicago,43
203,1,781,3,38.97,2025-05-06,Chicago,28
204,5,321,3,14.97,2025-06-24,Chicago,19
205,3,950,3,34.47,2025-06-27,Atlanta,44
206,4,483,3,26.97,2025-04-10,Atlanta,43
207,4,405,3,26.97,2025-06-14,Miami,39
208,5,743,2,9.98,2025-05-03,Atlanta,28
209,4,514,1,8.99,2025-02-26,Dallas,29
210,3,185,2,22.98,2025-04-06,New York,37
211,5,238,1,4.99,2025-01-29,Chicago,20
212,3,221,3,34.47,2025-01-06,Miami,36
213,3,936,3,34.47,2025-06-03,Atlanta,41
214,4,959,2,17.98,2025-06-13,New York,37
215,5,132,3,14.97,2025-01-30,New York,21
216,2,457,3,32.97,2025-04-11,Atlanta,34
